description,type,status,steward,ushe_element,ushe_rule,ushe_file,ushe_field,ushe_notes,ushe_sql,banner,activity_date,edify
GR student types cannot be undergraduate class levels,Database,Failure,,S18,S18b,Student,s_level,"Class Level vs. Registration Status a student registered as Undgergrad cannot be grad class level
--or a student registered as grad connot be an undergrad class level","INSERT INTO #s18b
SELECT '''' [S18B FTL Level and reg_status conflict],
s_inst, s_banner_id, s_last, s_first, s_gender, s_reg_status, s_level
FROM students_'+ @extract +'
WHERE s_instance = @instance
AND s_inst = @inst
AND S_REG_STATUS in (''NG'',''TG'',''CG'',''RG'')
AND s_level in (''fr'',''so'',''jr'',''sr'',''ug'')
Order by s_banner_id",class function in banner,n/a,student_term_level.primary_level_class_id
missing degree id,Database,Failure,,"S19, G17","S19a, G17a",Student,"s_deg_intent, g_ipeds",There should be a degree intent for each student.,"INTO #s19a
FROM students_'+ @extract +'
WHERE s_deg_intent NOT IN (Select ipeds_code from Reference.dbo.IPEDS_Awards where Inactive = ''N'')
and (s_deg_intent <> ''0'' or s_deg_intent is null)
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.sgbstdn_degc_code_1,sgbstdn_activity_date,student_term_level.primary_degree_id
invalid credit format,Database,Failure,,"S20, 24, G12, G13, G14, G15, G22, G23, SC07, SC08, SC09, SC11, C08","S20a, 24a, G12a, G13a, G14a, G15a, G22a, G23a, SC07a, SC08a, SC09a, SC11a, C08a","Student, Course, Graudation, Courses","s_cum_hrs_ugrad, s_trans_total, g_trans_total, g_grad_hrs, g_hrs_other, g_remedial_hrs, g_we_earned_contact_hrs, g_we_program_hrs, sc_att_cr, sc_earned_cr, sc_contact_hrs, sc_membership_hrs, c_contact_hrs",S_CUM_HRS_UGrad wrong format,"Into #s20a
From students_'+ @extract +'
Where (cast(s_cum_hrs_ugrad as float) In (''00000'', ''0000'',''000'',''00'')
or cast(s_cum_hrs_ugrad as float) = ''''
or len(s_cum_hrs_ugrad) > ''6''
or cast(s_cum_hrs_ugrad as float) > ''9999.9''
or cast(s_cum_hrs_ugrad as float) < ''0''
or s_cum_hrs_ugrad like ''%[^.0-9]%'' )
and s_cum_hrs_ugrad <> ''0''
and s_cum_hrs_ugrad <> ''0.0''
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.shrlgpa_hours_earned or SUM(banner.shrtgpa_hours_earned),shrlgpa_activity_date,"student_term_level.institutional_cumulative_credits_earned, student_term_level.transfer_cumulative_credits_earned"
missing institutional cumulative gpa,Database,Failure,,S21,S21,Student,s_cum_gpa_ugrad,,"SELECT ''''[S21 s_cum_gpa_ugrad student count], s_inst, cast(left(s_cum_gpa_ugrad,1) as varchar) as ugrad_gpa, count(*) student_count
INTO #s21
FROM students_'+ @extract +'
WHERE s_instance = @instance
and s_inst = @inst
and left(s_cum_gpa_ugrad,1) <> ''0''
GROUP by s_inst, left(s_cum_gpa_ugrad,1)
ORDER by left(s_cum_gpa_ugrad,1)

INSERT INTO #s21
SELECT ''''[S21 s_cum_gpa_ugrad student count], s_inst, ''Less than 1'' as ugrad_gpa, count(*) student_count
FROM students_'+ @extract +'
WHERE s_instance = @instance
AND s_inst = @inst
AND s_cum_gpa_ugrad != ''0''
and (left(s_cum_gpa_ugrad,1) = ''0'' or left(s_cum_gpa_ugrad,1) = ''.'')
GROUP by s_inst",banner.shrlgpa_gpa or SUM(banner.shrtgpa_gpa),shrlgpa_activity_date,"student_term_level.institutional_cumulative_gpa, student_term_level.level_id"
invalid institutional cumulative gpa format,Database,Failure,,"S21, S22, S23, S43, G11","S21a, S22a, S23c, S43b, G11a","Student, Graduation","s_cum_gpa_ugrad, s_cum_hrs_grad, g_gpa",S_CUM_GPA_UGRAD wrong format,"Into #s21a
From students_'+ @extract +'
Where (cast(s_cum_gpa_ugrad as float) In (''0000'',''000'',''00'')
or cast(s_cum_gpa_ugrad as float) = ''''
or len(s_cum_gpa_ugrad) > ''5''
or cast(s_cum_gpa_ugrad as float) > ''4.000''
or cast(s_cum_gpa_ugrad as float) < ''0''
or s_cum_gpa_ugrad like ''%[^.0-9]%'' )
and cast(s_cum_gpa_ugrad as float) <> ''0''
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.shrlgpa_gpa or SUM(banner.shrtgpa_gpa),shrlgpa_activity_date,"student_term_level.institutional_cumulative_gpa, student_term_level.level_id, student_term_level.institutional_gpa"
missing GPA at end of term,USHE,Failure,,"S21, S22, 23","S21b, S22b, 23d",Student,"s_cum_gpa_ugrad, s_cum_hrs_grad",UGrads without UGrad GPA,"Into #s21b
From students_'+ @extract +' s
join student_courses_'+ @extract +' sc on (s.s_banner_id = sc.sc_banner_id and s.s_extract = sc.sc_extract and s.s_instance = sc.sc_instance)
WHERE s_level not IN (''GN'',''GG'')
and (s_cum_gpa_ugrad = ''0'' or s_cum_gpa_ugrad = '''' or s_cum_gpa_ugrad is null)
and sc_grade not in (''CR'',''NG'',''P'',''SP'')
and cast(sc_earned_cr as float) > ''0''
and cast(s_cum_hrs_ugrad as float) > ''0''
and cast(sc_att_cr as float) > ''0''
and s_extract = ''e''
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.shrlgpa_gpa or SUM(banner.shrtgpa_gpa),shrlgpa_activity_date,"student_term_level.institutional_cumulative_gpa, student_term_level.level_id"
UG students have hours and gpa in GR hours or GPA,USHE,Failure,,S23,S23a,Student,s_cum_gpa_ugrad,"Checking if undergraduate students have any hours OR gpa IN
graduate hours OR gpa.","SELECT '''' [S23A Undergrads w Grad GPA],
s_inst, s_banner_id, s_last, s_first, s_gender,
s_cum_gpa_ugrad as [UGRAD GPA],
s_cum_hrs_ugrad as [UGRAD HRS], s_cum_gpa_grad as [GRAD GPA],
s_cum_hrs_grad as [GRAD HRS], s_level
INTO #s23a
FROM students_'+ @extract +'
WHERE s_level not IN (''GN'',''GG'')
AND cast(s_cum_gpa_grad as float) > 0
AND s_inst != ''3677''
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.shrlgpa_gpa or SUM(banner.shrtgpa_gpa),n/a,"student_term_level.institutional_cumulative_gpa, student_term_level.level_id"
missing part-time/full-time status,Database,Failure,,S25,S25a,Student,s_pt_ft,Part-time/Full-time Should be a value for each student.,"INTO #s25a
FROM students_'+ @extract +'
WHERE (s_pt_ft NOT IN (''p'',''f'') or s_pt_ft is null)
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",sum(banner.sfrstcr_credit_hr),n/a,student_term_level.full_time_part_time_code
invalid age format,USHE,Failure,,S26,S26a,Student,s_age,wrong format,"Into #s26a
From students_'+ @extract +'
Where (cast(s_age as float) In (''000'',''00'')
or cast(s_age as float) = ''''
or len(s_age) > ''3''
or cast(s_age as float) > ''125''
or cast(s_age as float) < ''0''
or s_age like ''%[^.0-9]%'' )
and s_age <> ''0''
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spbpers_birth_date,n/a,student.birth_date
age and birthdate do not align,Database,Failure,,S26,S26b,Student,s_age,Checking s_age vs calculated age by birthdate. Plus or Minus 1 year buffer.,"SELECT '''' [S26B FTL s_age vs calc birth_dt age],
s_inst, s_banner_id, s_last, s_first, s_gender, S_BIRTH_DT, s_age,
CASE when S_TERM in (''1'',''2'') THEN (S_year-1)-left(S_BIRTH_DT,4) ELSE S_year-left(S_BIRTH_DT,4) END as Calculated_Age
INTO #s26b
FROM students_'+ @extract +'
WHERE s_instance = @instance
and s_inst = @inst
and S_BIRTH_DT is not null
Order by s_banner_id

Delete from #s26b where cast(s_age as float) in (Calculated_Age, Calculated_Age-1, Calculated_Age+1)

IF EXISTS (select * from #s26b) (select * into s26b from #s26b) drop table #s26b",banner.spbpers_birth_date,spbpers_activity_date,student.birth_date
US state codes do not align with country code,Database,Failure,,S27,S27a,Student,"s_state_origin, s_country_origin","Country origin codes WHERE there is a state code within US, but the country is not ''US''.","INTO #s27b
FROM students_'+ @extract +'
WHERE (s_county_origin=''097''
or s_state_origin=''XX'')
AND s_country_origin=''US''
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.sabsupl_natn_code_admit,sabsupl_activity_date,first_admit_country_iso_code to quad.student
State and county do not align with country code (US),Database,Failure,,S27,S27b,Student,"s_state_origin, s_county_origin","state AND county code point outside of US, but the country code is ''US''","INTO #s27b
FROM students_'+ @extract +'
WHERE (s_county_origin=''097''
or s_state_origin=''XX'')
AND s_country_origin=''US''
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.sabsupl_natn_code_admit,sabsupl_activity_date,first_admit_country_iso_code to quad.student
country code not found on ISO list,Database,Failure,,S27,S27c,Student,s_country_code,Country codes. Where there is a country code not in the ISO list.,"INTO #s27c
FROM students_'+ @extract +'
WHERE s_instance = @instance
and s_inst = @inst
EXCEPT
SELECT '''' [S27C FTL Country not in ISO list], s_inst, s_banner_id,
s_last, s_first, s_gender, s_county_origin, s_state_origin, s_country_origin
FROM students_'+ @extract +'
WHERE s_country_origin IN (SELECT ISO_code FROM REFERENCE.dbo.country_2018_forward)
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.sabsupl_natn_code_admit,sabsupl_activity_date,first_admit_country_iso_code to quad.student
invalid UT high school code,Database,Failure,,S28,S28a,Student,s_high_school,"Should be a valid high school code for each student.
--We are mainly concerned with zeroes AND invalid 45 series high schools. Anything not 45
--comes FROM out of state unless it is invalid","INTO #s28a
FROM students_'+ @extract +'
WHERE s_high_school NOT IN (SELECT distinct hs_act_code FROM reference.dbo.highschools)
AND s_state_origin = ''UT''
and s_high_school <> ''888888''
and s_reg_status in (''CS'',''FF'',''FH'',''HS'',''RS'')
AND s_instance = @instance
and s_inst = @inst
and s_inst <> ''63''
Order by s_banner_id",banner.sorhsch_sgbi_code,sorhsch_activity_date,
invalid HB75 waiver code,USHE,Failure,,S29,S29a,Student,s_hb75_waiver,Checking for valid HB75 Waiver codes. Should be less than OR equal to 100.,"INTO #s29a
FROM students_'+ @extract +'
WHERE S_HB75_WAIVER > 100
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id","banner.rpratrm, sfrrgfe",n/a,student_term_level.house_bill_75_waiver
invalid HB75 waiver format,USHE,Failure,,S29,S29b,Student,s_hb75_waiver,Checking for valid HB75 Waiver codes format,"Into #s29b
From students_'+ @extract +'
Where (cast(s_hb75_waiver as float) In (''000'',''00'')
or cast(s_hb75_waiver as float) = ''''
or len(s_hb75_waiver) > ''3''
or cast(s_hb75_waiver as float) > ''100''
or cast(s_hb75_waiver as float) < ''0''
or s_hb75_waiver like ''%[^.0-9]%'' )
and s_hb75_waiver <> ''0''
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id","banner.rpratrm, sfrrgfe",n/a,student_term_level.house_bill_75_waiver
missing cip code,Database,Failure,,S30,S30a,Student,s_curr_cip2,Declared Major CIP codes There should be a s_curr_cip2 for each record.,"INTO #s30a
FROM students_'+ @extract +'
WHERE s_instance = @instance AND s_curr_cip2 IS NOT NULL
and s_inst = @inst
EXCEPT
SELECT '''' [S30A FTL S_Curr_Cip2 Invalid],
s_inst, s_banner_id, s_last, s_first, s_curr_cip2
FROM students_'+ @extract +'
WHERE s_instance = @instance
and s_inst = @inst
AND s_curr_cip2 IN (SELECT distinct cip_code FROM REFERENCE.dbo.cip WHERE cip_code not IN
('''',''999999'',''000000'') and Inactive <> ''Y'')
Order by s_banner_id",banner.stvmajr_cipc_code,stvmajr_activity_date,student_term_level.secondary_major_cip_code
Membership hours should be 0,USHE,Failure,,S31,S31a,Student,s_cum_membership,The institutions in this query should not have membership hours.,"INTO #s31a
FROM students_'+ @extract +'
WHERE s_instance = @instance
and s_inst = @inst
AND s_inst not IN (''5220'',''5221'',''3679'',''3676'',''63'')
AND cast(s_cum_membership as float) != 0
Order by s_banner_id",n/a,n/a,n/a
invalid CLEP wrong format,Database,Failure,,S32,S32a,Student,s_total_clep,S_Total_CLEP wrong format,"Into #s32a
From students_'+ @extract +'
Where (cast(s_total_clep as float) In (''00000'',''0000'',''000'',''00'')
or cast(s_total_clep as float) = ''''
or len(s_total_clep) > ''6''
or cast(s_total_clep as float) > ''9999.9''
or cast(s_total_clep as float) < ''0''
or s_total_clep like ''%[^.0-9]%'' )
and s_total_clep <> ''0''
and s_total_clep <> ''0.0''
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",shrtgpa_hours_earned,shrtgpa_activity_date,student_term_level. transfer_cumulative_clep_earned
invalid AP wrong format,Database,Failure,,S33,S33a,Student,s_total_ap,S_Total_AP wrong format,"Into #s33a
From students_'+ @extract +'
Where (cast(s_total_ap as float) In (''00000'',''0000'',''000'',''00'')
or cast(s_total_ap as float) = ''''
or len(s_total_ap) > ''6''
or cast(s_total_ap as float) > ''9999.9''
or cast(s_total_ap as float) < ''0''
or s_total_ap like ''%[^.0-9]%'' )
and s_total_ap <> ''0''
and s_total_ap <> ''0.0''
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",shrtgpa_hours_earned,shrtgpa_activity_date,student_term_level. transfer_cumulative_ap_earned
invalid ssid,Database,Failure,,"S34, G20","S34a, G20a","Student, Graduation","s_ssid, g_ssid",S_SSID is invalid,"Into #s34a
FROM students_'+ @extract +'
Where (len(s_ssid) > ''7''
or len(s_ssid) < ''7''
or substring(s_ssid,1,1) not in (''1'',''2'')
or s_ssid = '''')
and s_ssid is not null
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",goradid_additional_id,goradid_activity_date,student.ssid
ssid does not align with student type and state code,Database,Failure,,S34,S34b,Student,s_ssid,Bad SSID for Reg Status of HS and State of UT,"Into #s34b
FROM students_'+ @extract +'
Where s_reg_status = ''HS''
and s_state_origin = ''UT''
and (len(s_ssid) <> ''7'' or left(s_ssid,1) not in (''1'', ''2''))
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id","goradid_additional_id, banner.sabsupl_stat_code_admit, banner.sgbstdn_styp_code",goradid_activity_date,"student.ssid, student.first_admit_state_code, student_term_level.student_type_code"
missing ssid for Utah HS students,Database,Failure,,S34,S34c,Student,s_ssid,NULL SSID for HS Count,"into #s34c
FROM students_'+ @extract +' s
join student_courses_'+ @extract +' sc on (s.s_banner_id = sc.sc_banner_id)
Where s_ssid is NULL
and s_reg_status = ''HS''
and s_state_origin = ''UT''
and s_instance = @instance
AND s_inst = @inst
GROUP BY s_ssid, sc_student_type
Order by s_ssid","goradid_additional_id, banner.sabsupl_stat_code_admit, banner.sgbstdn_styp_code",goradid_activity_date,"student.ssid, student.first_admit_state_code, student_term_level.student_type_code"
missing ssid for concurrent students,Database,Failure,,S34,S34d,Student,s_ssid,NULL SSID for CE Students,"into #s34d
FROM students_'+ @extract +' s
join student_courses_'+ @extract +' sc on (s.s_banner_id = sc.sc_banner_id)
join courses_'+ @extract +' c on (sc.sc_c_key = c.c_key)
Where s_ssid is NULL
and c.c_budget_code in (''BC'',''SF'')
and s_instance = @instance
AND s_inst = @inst
Order by s_banner_id","goradid_additional_id, banner.sabsupl_stat_code_admit, banner.sgbstdn_styp_code",goradid_activity_date,"student.ssid, student_section.budget_code"
missing ssid for first time freshman and highschool students,Database,Warning,,S34,S34e,Student,s_ssid,"Please provide as many SSIDs as possible. Our hope is for every freshmen
--AND high school student FROM Utah to have an SSID.","SELECT '''' [S34E FF-FH-HS SSID count], COUNT(s_ssid) as [Number of SSIDs],
COUNT(*) as [Total FF-FH-HS Students]
INTO #s34e
FROM students_'+ @extract +'
WHERE s_reg_status IN (''FF'',''FH'',''HS'')
and s_instance = @instance
and s_inst = @inst","goradid_additional_id, banner.sgbstdn_styp_code",goradid_activity_date,"student.ssid, student_term_level.student_type_code"
invalid student id,Database,Failure,,"S35, G21, SC13","S35a, G21a, SC13a","Student, Graduation, Student Course","s_banner_id, g_banner_id, sc_banner_id",There should be a valid institutionally assigned ID for all records.,"INTO #s35a
FROM students_'+ @extract +'
WHERE (s_banner_id is null
OR s_banner_id = ''''
OR LEN(s_banner_id) != 9)
AND s_instance = @instance
and s_inst in (Select distinct I_ID From Reference.dbo.Inst)
and s_inst = @inst
Order by s_banner_id",banner.spriden_id,spriden_activity_date,student_term_level.student_id
invalid student id,Database,Failure,,"S35, G21, SC13","S35b, G21b, SC13b","Student, Graduation, Student Course","s_banner_id, g_banner_id, sc_banner_id",Changed to look for Alpha Characters at the start of the banner id,"INTO #s35b
FROM students_'+ @extract +'
WHERE s_banner_id not like ''[a-Z]%''
AND s_instance = @instance
and s_inst in (Select distinct I_ID From Reference.dbo.Inst)
and s_inst = @inst
Order by s_banner_id",banner.spriden_id,spriden_activity_date,student_term_level.student_id
invalid alpha in student id,USHE,Failure,,"S35, G21, SC13","S35c, G21c, SC13c","Student, Graduation, Student Course","s_banner_id, g_banner_id, sc_banner_id",Wrong Alpha in Banner IDs. There should be a valid institutionally assigned ID for all records.,"INTO #s35c
FROM students_'+ @extract +'
WHERE s_inst in (Select distinct I_ID From Reference.dbo.Inst)
and left(s_banner_id,1) not in (Select distinct I_Banner From Reference.dbo.Inst where i_id = @inst and Inactive <> ''Y'')
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spriden_id,n/a,student_term_level.student_id
invalid act test score format,Database,Failure,,"S36, S38, 38, 39, 40, 41","S36a, S38a, S39a, S40a, S41a",Student,"s_act, s_act_eng, s_act_math, s_act_read, s_act_sci",S_ACT wrong format,"Into #s36a
From students_'+ @extract +'
Where (cast(s_act as float) = ''''
or len(s_act) > ''2''
or cast(s_act as float) > ''36''
or cast(s_act as float) < ''0''
or s_act like ''%[^.0-9]%''
or cast(s_act as float) in (''00'', ''0''))
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.sortest_test_score,sortest_activity_date,"student.act_composite_score, student.act_english_score, student.act_math_score, student.act_read_score, student.act_science_score"
missing HS graduation date,Database,Failure,,S42,S42a,Student,s_hs_grad_date,High School Grad Date required where s_reg_status = FH,"INTO #s42a
FROM students_'+ @extract +'
WHERE (len(S_HS_GRAD_DATE) != 8
OR s_hs_grad_date is null
or isdate(s_hs_grad_date)!=1)
and s_reg_status = ''FH''
AND s_state_origin = ''UT''
AND s_instance = @instance
AND s_inst = @inst
and s_inst <> ''63''
Order by s_banner_id",banner.sorhsch_graduation_date,sorhsch_activity_date,student.high_school_graduation_date
cumulative gpa matches term gpa based on certain student types,USHE,Warning,,S43,S43c,Student,"s_term_gpa, s_cum_gpa_ugrad",S_CUM_GPA_UGRAD = S_TERM_GPA,"INTO #s43C
from students_'+ @extract +'
where s_inst = @inst
AND s_instance = @instance
and S_CUM_GPA_UGRAD not in (''0'',''4'')
AND S_CUM_GPA_UGRAD = S_TERM_GPA
and S_LEVEL != ''fr''
and S_REG_STATUS not in (''ff'',''fh'',''tu'',''tg'')
and s_extract = ''e''
Order by s_banner_id",round(sum(shrtgpa_quality_points) / sum(shrtgpa_gpa_hours),n/a,"student_term_level.institutional_gpa, student_term_level.institutional_cumulative_gpa"
invalid pell awarded to highschool students,Database,Failure,,S44,S44c,Student,s_pell,HS students should not have pell,"INTO #s44c
FROM students_'+ @extract +'
WHERE s_pell is not null
AND s_reg_status = ''HS''
AND s_instance = @instance
AND s_inst = @inst
Order by s_banner_id",banner.rpratrm_offer_amt,rpratrm_activity_date,"""student_term_level.is_pell_eligible
student_term_level.is_pell_awarded"""
invalid pell value,USHE,Failure,,S44,S44d,Student,s_pell,Wrong values for Pell,"Into #s44d
From students_'+ @extract +'
Where s_pell is not null
and s_pell not in (''E'',''R'')
and s_extract = ''e''
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.rpratrm_offer_amt,n/a,"""student_term_level.is_pell_eligible
student_term_level.is_pell_awarded"""
invalid bia code,USHE,Failure,,S45,S45c,Student,s_bia,Wrong value fo s_bia,"Into #s45c
From students_'+ @extract +'
Where s_bia is not null
and s_bia <> ''B''
and s_extract = ''e''
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.tbraccd,n/a,student_term_level.is_bia
missing college,Database,Failure,,"S46, C45","S46a, C45","Student, Course","s_college, c_college",There should be a college for every record.,"INTO #s46a
FROM students_'+ @extract +'
WHERE (s_college is null or s_college = '''')
and s_inst != ''63''
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.sgbstdn_coll_code_1,sgbstdn_activity_date,student_term_level.primary_major_college_id
invalid college due to non-alpha characters,Database,Failure,,"S46, S48","S46b, S48a, C45a","Student, Course","s_college, s_college2, c_college",S_College with Non-Alpha characters,"into #s46b
from students_'+ @extract +'
where (s_college is not null or s_college <> '''')
and s_college like ''%[^ -`a-Z]%''
and s_college not like ''%''''%'' -- this allows an apostrophe to be in the string
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id","banner.sgbstdn_coll_code_1, banner.sgbstdn_coll_code_2",sgbstdn_activity_date,"student_term_level.primary_major_college_id, student_term_level.secondary_major_college_id"
missing major,Database,Failure,,S47,S47a,Student,s_major,There should be a major for every record.,"INTO #s47a
FROM students_'+ @extract +'
WHERE (s_major is null or s_major = '''')
AND s_instance = @instance
and s_inst = @inst
and s_inst != ''63''
Order by s_banner_id",banner.sgbstdn_majr_code_1,sgbstdn_activity_date,"student_term_level.primary_major_code, student_term_level.primary_major_desc"
duplicate major,Database,Failure,,S47,S47b,Student,s_major,There should be a unique major for every record.,"INTO #s47b
FROM students_'+ @extract +'
WHERE s_major = s_major2
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.sgbstdn_majr_code_2,sgbstdn_activity_date,"student_term_level.primary_major_code, student_term_level.second_major_code"
invalid major due to non-alpha characters,Database,Failure,,"S47, S49","S47c, S49b",Student,"s_major, s_major2",S_Major with Non-Alpha characters,"into #s47c
from students_'+ @extract +'
where (s_major is not null or s_major <> '''')
and s_major like ''%[^ -`a-Z]%''
and s_major not like ''%''''%'' -- this allows an apostrophe to be in the string
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id","banner.sgbstdn_majr_code_1, banner.sgbstdn_majr_code_2",sgbstdn_activity_date,student_term_level.primary_major_desc
missing second major with second cip code,Database,Failure,,S49,S49a,Student,s_major2,Missing Second CIP or Major,"INTO #s49a
FROM students_'+ @extract +'
WHERE (((s_major2 is null or s_major2= '''') and ((s_curr_cip2 is not null and s_curr_cip2 !='''') or (s_college2 is not null and s_college2!='''')))
or ((s_curr_cip2 is null or s_curr_cip2= '''') and ((s_major2 is not null and s_major2 !='''') or (s_college2 is not null and s_college2!='''')))
or ((s_college2 is null or s_college2= '''') and ((s_major2 is not null and s_major2 !='''') or (s_curr_cip2 is not null and s_curr_cip2!=''''))) )
AND s_instance = @instance
and s_inst = @inst
and s_inst != ''63''
Order by s_banner_id",banner.sgbstdn_majr_code_2,sgbstdn_activity_date,"student_term_level.secondary_major_desc, student_term_level.secondary_major_cip_code"
"duplicate combination of course subject, number, and section",Database,Failure,,C00,C00,Course,"c_crs_sbj, c_crs_num, c_crs_sec",FTL Duplicate Courses,"select count(c_inst) as [C00 FTL Duplicate Count], c_inst, c_crs_sbj, c_crs_num, c_crs_sec
INTO #c00
from courses_' + @extract + '
where c_instance = @instance
and c_inst = @inst
group by c_inst, c_crs_sbj, c_crs_num, c_crs_sec
having count(c_inst) >1","banner.ssbsect_subj_code, banner.ssbsect_crse_numb, banner.ssbsect_seq_numb",ssbsect_activity_date,"student_section.subject_code, student_section.course_number, student_section.section_number"
invalid course number length of characters,Database,Failure,,C04,C04a,Course,c_crs_num,the Course Number should have four digits,"INTO #C04a
FROM courses_' + @extract + '
WHERE c_instance = @instance
AND c_inst = @inst
AND (LEN(C_CRS_NUM) = 3 or LEN(C_CRS_NUM) = 2 or LEN(C_CRS_NUM) = 1)
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssbsect_crse_numb,ssbsect_activity_date,student_section.course_number
invalid course number format (course numbers cannot start with an 8 or 9),Database,Failure,,C04,C04c,Course,c_crs_num,the Course Number Invalid first character,"INTO #C04c
FROM courses_' + @extract + '
WHERE c_instance = @instance
AND c_inst = @inst
AND C_CRS_NUM like ''[8-9]__[a-z]''
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssbsect_crse_numb,ssbsect_activity_date,student_section.course_number
invalid course number format due to alpha in first 4 characters,Database,Failure,,C04,C04d,Course,c_crs_num,CRS_NUM has Alpha in 1st 4 Char,"INTO #C04d
FROM courses_' + @extract + '
WHERE left(c_crs_num,4) like ''%[A-Z]%''
and c_instance = @instance
AND c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssbsect_crse_numb,ssbsect_activity_date,student_section.course_number
invalid course min or max credits,Database,Failure,,"C06, C07","C06a, C07a",Course,"c_min_credit, c_max_credit","C_MIN_Credits Invalid, C_MAX_Credits Invalid","Into #c06a
FROM courses_' + @extract + '
Where (cast(C_MIN_CREDIT as float) = ''''
or len(C_MIN_CREDIT) > ''4''
or cast(C_MIN_CREDIT as float) > ''99.9''
or cast(C_MIN_CREDIT as float) < ''0''
or C_MIN_CREDIT like ''%[^.0-9]%'' )
and C_MIN_CREDIT <> ''0''
and c_min_credit <> ''0.0''
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec","banner.scbcrse_credit_hr_low, banner.scbcrse_credit_hr_high",scbcrse_activity_date,"course.course_min_credits, courses.course_max_credits"
max credits less than min credits,Database,Failure,,C07,C07b,Course,c_max_credit,C_MAX_Credits less than C_MIN_Credits,"Into #c07b
FROM courses_' + @extract + '
Where isnull(cast(c_max_credit as float),''0'') < isnull(cast(c_min_credit as float),''0'')
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec","banner.scbcrse_credit_hr_low, banner.scbcrse_credit_hr_high",scbcrse_activity_date,"course.course_min_credits, courses.course_max_credits"
invalid line item values,USHE,Failure,,C09,C09,Course,c_line_item,Checking for valid values in c_line_item.,"INTO #C09
FROM courses_' + @extract + '
WHERE (c_line_item not IN (''a'',''b'',''c'',''d'',''e'',''f'',''g'',''h'',''i'',''p'',''q'',''r'',''s'',''t'',''x'')
OR c_line_item is null OR c_line_item = '''')
AND c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",N/A,n/a,N/A
missing site type,Database,Failure,,C10,C10,Course,c_site_type,Checking for valid values IN c_site_type,"INTO #c10
FROM courses_' + @extract + '
WHERE (c_site_type not IN (select s_type_code from reference.dbo.site_type) or c_site_type is null OR c_site_type = '''')
and c_extract = ''3''
AND c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssbsect_camp_code,ssbsect_activity_date,student_section.campus_id
invalid site type,Database,Failure,,C10,C10a,Course,c_site_type,Checking for valid values IN c_site_type.,"INTO #c10a
FROM courses_' + @extract + '
WHERE (c_site_type not IN (select s_type_code from reference.dbo.site_type) or c_site_type is null OR c_site_type = '''')
and c_extract = ''E''
AND c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssbsect_camp_code,ssbsect_activity_date,student_section.campus_id
missing budget code,Database,Failure,,C11,C11,Course,c_budget_code,Checking to ensure that budget codes are not blank or NULL,"INTO #c11
FROM courses_' + @extract + '
WHERE (c_budget_code IS NULL OR c_budget_code = '''')
AND c_instance = @instance
and c_inst = @inst
Order by c_crs_sbj, c_crs_num, c_crs_sec",banner.ssrsccd_sccd_code,ssrsccd_activity_date,student_section.budget_code
